22060: ['02', '06', '10', '11', '20'], ['03', '09']
22061: ['06', '09', '19', '22', '30'], ['01', '06']
22062: ['05', '09', '11', '12', '31'], ['07', '11']
22063: ['02', '03', '22', '26', '31'], ['06', '10']
22064: ['02', '19', '22', '25', '35'], ['05', '07']
22065: ['05', '10', '13', '22', '28'], ['01', '04']
22066: ['02', '24', '25', '26', '34'], ['03', '12']
22067: ['04', '14', '15', '32', '33'], ['10', '11']
22068: ['03', '06', '10', '15', '23'], ['03', '08']
22069: ['02', '03', '23', '28', '35'], ['02', '09']
22070: ['01', '07', '17', '23', '35'], ['07', '11']
22071: ['09', '15', '19', '25', '29'], ['08', '09']
22072: ['01', '12', '13', '15', '30'], ['03', '07']
22073: ['11', '18', '21', '25', '32'], ['02', '04']
22074: ['02', '06', '21', '25', '28'], ['02', '06']
22075: ['04', '12', '13', '17', '18'], ['07', '09']
22076: ['05', '17', '30', '34', '35'], ['02', '09']
22077: ['05', '10', '11', '16', '19'], ['01', '10']
22078: ['02', '03', '18', '20', '27'], ['01', '02']
22079: ['07', '10', '19', '26', '32'], ['08', '12']
22080: ['10', '17', '30', '31', '34'], ['03', '06']
22081: ['05', '10', '19', '31', '32'], ['09', '10']
22082: ['04', '26', '27', '30', '33'], ['02', '09']
22083: ['02', '09', '17', '26', '32'], ['04', '06']
22084: ['03', '11', '19', '25', '27'], ['04', '12']
22085: ['11', '16', '31', '33', '35'], ['06', '08']
22086: ['04', '10', '21', '28', '31'], ['08', '11']
22087: ['04', '06', '10', '24', '28'], ['06', '12']
22088: ['01', '08', '10', '20', '35'], ['06', '11']
22089: ['01', '20', '21', '31', '33'], ['03', '11']
22090: ['01', '20', '24', '25', '31'], ['09', '12']
22091: ['02', '11', '20', '22', '34'], ['04', '12']
22092: ['01', '04', '12', '23', '29'], ['05', '12']
22093: ['07', '11', '14', '21', '29'], ['07', '10']
22094: ['03', '04', '07', '12', '19'], ['02', '05']
22095: ['05', '08', '22', '25', '35'], ['02', '07']
22096: ['16', '19', '24', '27', '33'], ['01', '06']
22097: ['05', '13', '22', '28', '29'], ['05', '11']
22098: ['01', '03', '06', '11', '13'], ['03', '11']
22099: ['07', '18', '25', '27', '33'], ['04', '05']
22100: ['10', '19', '20', '23', '31'], ['03', '07']
22101: ['02', '04', '06', '07', '08'], ['03', '06']
22102: ['01', '05', '14', '20', '30'], ['02', '04']
22103: ['08', '12', '16', '21', '32'], ['01', '12']
22104: ['03', '05', '13', '19', '25'], ['02', '05']
22105: ['01', '08', '09', '21', '22'], ['01', '04']
22106: ['16', '17', '21', '28', '32'], ['04', '07']
22107: ['07', '09', '19', '28', '29'], ['08', '10']
22108: ['04', '07', '13', '26', '28'], ['07', '11']
22109: ['05', '09', '24', '29', '35'], ['05', '12']
22110: ['02', '13', '16', '18', '23'], ['03', '06']
22111: ['06', '12', '16', '19', '31'], ['06', '10']
22112: ['04', '11', '18', '20', '26'], ['06', '12']
22113: ['13', '15', '22', '31', '33'], ['05', '12']
22114: ['11', '21', '24', '27', '28'], ['05', '10']
22115: ['17', '19', '20', '23', '27'], ['03', '08']
22116: ['01', '07', '20', '22', '31'], ['07', '12']
22117: ['09', '12', '15', '21', '32'], ['02', '07']
22118: ['02', '05', '15', '17', '26'], ['02', '08']
